Sample	cancer_type	type	HLA-A	PDCD6IP	P60033	HSP90AA1	PPIA	UBAP1	UHRF2	VPS37A	WDR3	YTHDC1
MS184454QEp_Goncalo_Lyden_131_T_b	lung	not plasma	283083113.1	277185148.8	442693718.3	6434043851	7326851332	NA	NA	NA	NA	NA
MS184454QEp_Goncalo_Lyden_135_T	lung	not plasma	104102949.8	562141702.3	928066471	2905923228	8780405850	NA	NA	NA	NA	NA
MS184454QEp_Goncalo_Lyden_137_T	lung	not plasma	42101595.63	348416339.6	69792366	3724359267	8370291885	NA	NA	NA	NA	NA
MS184454QEp_Goncalo_Lyden_141_T	lung	not plasma	190805696.8	358642952.3	2059972703	3113563594	4187323127	NA	NA	NA	NA	NA
MS184454QEp_Goncalo_Lyden_142_T	lung	not plasma	265229413.7	633982162	1677009733	2469975562	5639739671	NA	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_1118_A	lung	cell culture	620389233.9	272536908.8	77389579.48	738716364.4	593621058.2	NA	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H1650_A	lung	cell culture	152108612.8	149731587	459226081.9	713197537.4	384411864.1	NA	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H1975_A	lung	cell culture	180986306.4	138967675.3	90880158.4	597931103.9	437273738.4	NA	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H292_A	lung	cell culture	78056399.07	677094728.9	34539239.38	786441786.9	362831040.8	24707089.45	NA	5468828.281	NA	NA
MS141031QE_Bruno_Lyden_A459	lung	cell culture	NA	141770758.8	814098260.8	459297887.6	240251096.7	NA	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_ET2B	lung	cell culture	NA	NA	NA	NA	1747419.781	NA	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_H2228	lung	cell culture	113274476.9	78366553	292294677.7	710158797.6	1232774579	NA	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_H358	lung	cell culture	1996815688	885204633.7	803402612	6717528334	7041718440	NA	NA	NA	NA	NA
MS173515QEp_Katharine_Lyden_LC_bone_met_17	lung	cell culture	328547456	186557729.2	NA	3452599287	1368093635	NA	NA	NA	15261277.5	NA
MS151440QE_Bruno_Lyden_CCG9911_Wilms_tumor	kidney	cell culture	98838378	1083034996	2911655721	2439419631	1988476186	NA	NA	NA	NA	NA
MS151510QE_Bruno_Lyden_Wilms_tumor_CLS1	kidney	cell culture	248377803	465437461.3	5651553906	4082032715	3511892655	NA	NA	NA	NA	NA
MS173515QEp_Katharine_Lyden_Renal_bone_met	kidney	cell culture	1027527109	271665310.7	697928342.7	2018933257	1700132936	NA	NA	NA	NA	NA
MS141070QE_Bruno_Lyden_M2	HN	cell culture	513965792.4	621032204.2	817729063	6422729041	10724820948	NA	NA	NA	NA	15363278
MS141070QE_Bruno_Lyden_M9	HN	cell culture	146869107.3	653729635.3	NA	13337232904	28913259632	NA	NA	NA	NA	NA
MS173259QEp_Ayuko_Lyden_P01-015-T01	HCC	not plasma	NA	197921075.7	NA	4674055713	2688109532	NA	NA	NA	NA	NA
MS173551QEp_Miho_Lyden_P01-020-T01	HCC	not plasma	5044970.875	187319961	661217451.1	3725987319	1518185063	NA	NA	NA	NA	NA
MS173551QEp_Miho_Lyden_P01-021-T01	HCC	not plasma	NA	112482091.6	144351643.5	1744306642	393560265.7	NA	NA	NA	NA	NA
MS184612LUM_haiying_lyden_P01-020-ac2-T01_a	HCC	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184612LUM_haiying_lyden_P01-025-T01_a	HCC	not plasma	180882064.3	110877514.8	850574662.5	626097642.4	735851060.3	NA	NA	NA	10563365.5	NA
MS184612LUM_haiying_lyden_P01-035-T01_a	gastric	not plasma	428131584	1289196725	483557330	32659777904	68735528213	NA	NA	NA	132921222	NA
MS13451QE_Bruno_Lyden_SNU16gastric_A	gastric	cell culture	7122208.25	4950562.18	NA	23385161.96	108791032.5	NA	NA	NA	NA	NA
MS13451QE_Bruno_Lyden_SNU1gastric_A	gastric	cell culture	19995146.51	27843313.56	123748806.3	91616393.33	207928310.4	NA	NA	NA	NA	NA
MS14787QE_Hector_Lyden_HGC27	gastric	cell culture	93044352.13	391040063.9	875179179.2	2148368625	1971640394	NA	NA	NA	NA	NA
MS173449QEp_Daniela_Lyden_MOCK4_1	gastric	cell culture	38960966	199998693.2	297686744.3	1374463235	1129346766	NA	NA	NA	NA	NA
