ENTREZ GENE ID	GENE SYMBOL	UNIPROT		number of EXPERIMENT	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
10015	PDCD6IP	Q8WUM4	V	65	23	11	6	3	15	3	2	0	1	1
967	CD63	P08962	V	65	21	6	12	1	10	8	1	2	0	4
3105	HLA-A	P04439	V	65	20	17	7	7	2	12	0	0	0	0
60	ACTB	P60709	V	60	29	8	10	2	8	3	0	0	0	0
928	CD9	P21926	V	58	21	9	4	3	11	6	0	0	0	4
6520	SLC3A2	P08195	V	57	19	7	12	5	10	4	0	0	0	0
975	CD81	P60033	V	57	26	7	8	3	6	4	0	0	0	3
3320	HSP90AA1	P07900	V	56	23	10	3	7	10	0	0	0	0	3
5478	PPIA	P62937	V	56	19	7	4	5	15	6	0	0	0	0
5315	PKM	P14618	V	55	26	10	5	2	11	1	0	0	0	0
7531	YWHAE	P62258	V	55	23	6	6	4	11	5	0	0	0	0
5717	PSMD11	O00231	V	55	20	10	4	2	9	10	0	0	0	0
3326	HSP90AB1	P08238	V	54	19	9	4	6	13	3	0	0	0	0
1938	EEF2	P13639	V	54	20	8	5	4	12	5	0	0	0	0
3857	KRT9	P35527	V	54	22	10	5	1	14	2	0	0	0	0
2194	FASN	P49327	V	53	24	10	6	3	9	1	0	0	0	0
3688	ITGB1	P05556	V	53	20	13	5	3	7	3	2	0	0	0
3848	KRT1	P04264	V	52	22	7	5	0	14	4	0	0	0	0
7534	YWHAZ	P63104	V	52	24	9	5	4	9	1	0	0	0	0
3959	LGALS3BP	Q08380	V	52	20	10	5	2	13	2	0	0	0	0
7251	TSG101	Q99816	V	51	22	9	6	1	6	4	2	0	1	0
3945	LDHB	P07195	V	51	19	11	4	3	10	4	0	0	0	0
10606	PAICS	P22234	V	51	21	8	4	2	7	9	0	0	0	0
2597	GAPDH	P04406	V	50	22	7	5	2	14	0	0	0	0	0
3312	HSPA8	P11142	V	50	21	9	6	0	12	2	0	0	0	0
7167	TPI1	P60174	V	50	22	10	2	2	12	2	0	0	0	0
6950	TCP1	P17987	V	50	20	9	2	4	8	7	0	0	0	0
301	ANXA1	P04083	V	50	18	10	4	3	13	2	0	0	0	0
87	ACTN1	P12814	V	50	20	10	4	4	6	6	0	0	0	0
6233	RPS27A	P62979	V	50	22	8	5	2	9	4	0	0	0	0
2023	ENO1	P06733	V	49	19	7	4	2	14	3	0	0	0	0
302	ANXA2	P07355	V	49	25	7	6	3	7	1	0	0	0	0
5230	PGK1	P00558	V	49	21	7	5	2	11	3	0	0	0	0
6386	SDCBP	O00560	V	49	24	7	2	2	7	2	0	0	0	5
