UNIPROT	Sample	common13
O60763	69	p
P40926	69	p
P46776	69	p
P22090	69	#N/A
Q6IQ22	69	p
P13489	70	p
P30085	70	p
Q08043	70	#N/A
P06756	70	p
P62244	70	p
Q9UBF2	70	p
Q99733	70	p
O75608	70	p
P13693	70	p
P21266	70	p
P62081	70	p
P78527	70	p
Q15349	70	#N/A
P31948	70	p
P25787	70	p
P10644	70	p
P25786	70	p
P62266	70	p
O15523	70	#N/A
P60891	70	p
Q13155	70	p
P02787	70	p
P62070	71	p
P27824	71	p
P01889	71	p
Q9Y262	71	p
P40925	71	p
Q99829	71	p
P20618	71	p
Q00839	71	p
P22102	71	p
P41252	71	p
P27635	71	p
O75828	71	p
P06730	71	p
O94979	71	p
P28161	71	p
Q86YS6	71	p
Q96DA2	71	#N/A
Q9H082	71	p
O43242	71	p
Q9Y2A7	72	p
P18084	72	p
P67936	72	p
P06748	72	p
Q96AC1	72	p
P25398	72	p
P12956	72	p
Q15084	72	p
P51812	72	p
Q04760	72	p
P26640	72	p
Q02790	72	p
P07741	72	p
O00429	72	p
Q5T4S7	72	p
Q08211	72	p
Q16851	72	p
Q9BR76	72	p
Q14103	72	p
Q14964	72	#N/A
Q14254	72	p
P02748	72	p
P17301	73	p
P05783	73	p
P33176	73	p
O14672	73	p
Q9P2B2	73	p
P14136	73	#N/A
P42224	73	p
P28838	73	p
P14866	73	p
P12268	73	p
P54577	73	p
P80723	73	p
P26599	73	p
P01111	73	#N/A
P13861	73	p
P32969	73	p
P30050	73	p
Q12931	73	p
Q99460	73	p
P30613	73	#N/A
P43686	73	p
P02788	73	p
P10301	74	p
P01893	74	#N/A
P20648	74	#N/A
P11279	74	p
Q15046	74	p
O00410	74	p
P19012	74	#N/A
Q9UL25	74	p
P62753	74	p
Q9Y265	74	p
O00148	74	p
P42025	74	p
Q7L1Q6	74	p
O95373	74	p
P54578	74	p
P51570	74	p
Q9NTK5	74	p
Q15008	74	p
P01591	74	p
P30043	74	p
P26006	75	p
Q9NZM1	75	p
Q15149	75	p
Q09666	75	p
O75131	75	p
P62330	75	p
Q5VW32	75	p
O60884	75	p
O43491	75	p
Q92973	75	p
O75351	75	p
P48059	75	p
P01116	75	p
P11233	75	p
P01112	75	#N/A
P62913	75	p
P10768	75	p
P13010	75	p
P58546	75	p
P39023	75	p
P46777	75	p
P62906	75	p
O75955	75	p
P51665	75	p
P22234	75	p
Q02543	75	p
P09104	75	p
P61018	75	p
P62888	75	p
P35442	75	p
P60900	75	p
P62269	75	p
P35527	75	p
P02671	75	p
P19827	75	p
Q08431	76	p
Q06323	76	p
Q04695	76	#N/A
P54920	76	p
P30154	76	p
P30086	76	p
P53621	76	p
P08237	76	p
Q9NQW7	76	p
Q7KZF4	76	p
P50552	76	p
P45974	76	p
P50502	76	#N/A
Q07020	76	p
Q8IZ83	76	p
P00739	76	p
P23229	77	p
P35221	77	p
P29992	77	p
Q99497	77	p
O00764	77	p
O00303	77	p
P08779	77	#N/A
Q16658	77	p
Q96KP4	77	p
Q9UQ80	77	p
P37837	77	p
P20337	77	#N/A
Q96E17	77	#N/A
P14868	77	p
P06241	77	#N/A
P18124	77	p
Q86UX7	77	p
P02647	77	p
P62195	77	p
P01031	77	p
P05026	78	p
P60903	78	p
P50148	78	p
P04439	78	p
P35609	78	#N/A
P23284	78	p
Q9UHD8	78	p
P34932	78	p
P26639	78	p
P14174	78	p
P43034	78	p
P00966	78	p
Q9ULV4	78	p
O95716	78	p
P20336	78	#N/A
P50914	78	p
Q02878	78	p
Q03113	78	#N/A
P04792	78	p
P62191	78	p
P00488	78	p
P08727	79	p
P10321	79	p
P78417	79	p
O94973	79	p
Q13838	79	p
P53618	79	p
Q7L2H7	79	p
P30044	79	p
P55263	79	p
P47755	79	p
P20338	79	p
P36871	79	p
P11413	79	p
P07948	79	p
P20073	79	p
P38606	79	p
P11940	79	p
Q14697	79	p
P00352	79	p
P00738	79	p
Q07954	79	p
P31689	80	p
Q99536	80	p
P62280	80	p
O43776	80	p
O15144	80	p
Q15582	80	p
P04632	80	p
P12111	80	p
P28066	80	p
P61163	80	p
Q14344	80	p
P09972	80	p
P35998	80	p
P23142	80	p
P04114	80	p
P17655	81	p
P11234	81	p
P19013	81	#N/A
O95782	81	p
P13797	81	p
Q9Y678	81	p
P41250	81	p
P29966	81	p
P50570	81	p
P62424	81	p
Q8WUD1	81	p
Q9NRW1	81	#N/A
P10599	81	p
P31146	81	p
P59998	81	p
P50995	81	p
P07814	81	p
Q96TA1	82	p
P54707	82	#N/A
P27797	82	p
P16070	82	p
P25789	82	p
Q9NSB2	82	#N/A
O14818	82	p
Q96FW1	82	p
P50454	82	p
P09543	82	p
P55060	82	p
P28482	82	p
O75340	82	p
P62249	82	p
P62333	82	p
O00231	82	p
P36578	82	p
P32119	82	p
P61313	82	p
P02774	82	p
O15143	83	p
Q06210	83	p
P02533	83	#N/A
P09525	83	p
P62745	83	p
P12035	83	#N/A
P49189	83	p
Q01546	83	#N/A
O14980	83	p
P07205	83	#N/A
Q7Z794	83	#N/A
O00232	83	p
Q9UNM6	83	p
P00734	83	p
Q15181	84	p
Q96FJ2	84	p
P63167	84	p
O43865	84	p
P27361	84	p
O15145	84	p
P12931	84	p
P84085	84	p
P62241	84	p
P11217	84	#N/A
P60033	84	p
P46459	84	p
P98160	84	p
P07237	84	p
P23396	84	p
O75531	84	p
P14649	84	p
P05387	84	p
Q15366	84	p
P17858	84	p
P02786	84	p
P13645	84	#N/A
P09471	84	p
P14923	85	p
O00159	85	p
Q01813	85	p
Q10567	85	p
Q9NZN4	85	p
P62714	85	p
P09382	85	p
P67775	85	p
P61247	85	p
P15121	85	p
P11586	85	p
P15259	85	#N/A
P20339	85	p
P52907	85	p
Q7L576	85	p
P30041	85	p
Q99832	85	p
P02679	85	p
P00450	85	p
P02649	85	p
P19823	85	p
P61769	86	p
P49588	86	p
Q15019	86	p
Q13162	86	p
P11766	86	p
Q96QK1	86	p
P20340	86	p
Q15185	86	p
P07947	86	p
P61019	86	p
P27482	86	#N/A
P05388	86	p
P08670	86	p
P62701	86	p
P48643	86	p
P0C0L4	86	p
P84095	87	p
P21399	87	p
P04083	87	p
P14550	87	p
Q16181	87	p
P08133	87	p
P61020	87	p
Q86VP6	87	p
P30153	87	p
P63092	87	#N/A
Q5JWF2	87	#N/A
A6NHL2	87	p
P15531	87	p
P22392	87	p
P49327	87	p
P52209	87	p
P55072	87	p
P50991	87	p
P02100	87	#N/A
P63010	88	p
O60701	88	p
Q13418	88	p
O75874	88	p
P47756	88	p
Q14764	88	p
Q9Y4G6	88	p
P31150	88	p
Q13200	88	p
P35749	88	p
P30101	88	p
Q15365	88	p
P78371	88	p
Q96A08	88	#N/A
P00747	88	p
P18206	89	p
P08729	89	#N/A
P29401	89	p
P16152	89	p
P11216	89	p
P18085	89	p
P36873	89	p
P62140	89	p
P63241	89	p
Q9H4B7	89	p
P13929	89	p
P53396	89	p
P27105	89	p
P49368	89	p
P50990	89	p
P02794	89	p
P02675	89	p
P69891	89	p
P69892	89	#N/A
P60981	90	p
Q9Y696	90	p
P51153	90	p
P06737	90	p
P31939	90	p
P62136	90	p
P37802	90	p
Q9NZN3	90	p
P61106	90	p
P51148	90	p
Q14974	90	p
Q7Z406	90	p
P35580	90	p
P15880	90	p
Q8IUE6	90	p
P08758	90	p
P40227	90	p
Q58FG1	91	p
Q9H223	91	p
P35908	91	#N/A
P31947	91	p
P61160	91	p
P61978	91	p
P08754	91	p
P63096	91	p
P09211	91	p
Q9H4M9	91	p
P07996	91	p
P17987	91	p
P61158	91	p
P31949	92	p
P18669	92	p
P05023	92	p
Q14315	92	p
P60763	92	#N/A
Q14204	92	p
O00560	92	p
O43707	92	p
P26641	92	p
P62491	92	#N/A
Q15907	92	p
P50395	92	p
Q14240	92	p
P04899	92	p
Q92930	92	p
P61006	92	p
Q9H0U4	92	p
P62826	92	p
Q08380	93	p
P06744	93	p
P13647	93	#N/A
O75083	93	p
P22314	93	p
P61204	93	#N/A
P84077	93	#N/A
P51149	93	p
P23526	93	p
Q04917	93	p
P60842	93	p
P15153	93	p
P53675	93	#N/A
Q9HAV0	93	p
P00558	93	p
O00299	93	p
P62879	93	p
P16104	93	p
P62820	93	p
Q16695	93	#N/A
P17066	93	#N/A
Q06830	93	p
P60660	93	p
P05787	94	p
P06703	94	p
P02538	94	#N/A
P48668	94	#N/A
P04259	94	#N/A
Q58FF6	94	#N/A
P12814	94	p
P46940	94	p
Q9Y281	94	p
Q15286	94	p
P60174	94	p
P61586	94	p
P62873	94	p
P61026	94	p
Q01518	94	p
Q8WUM4	94	p
P68431	94	p
Q71DI3	94	p
Q9BUF5	94	p
P04004	94	p
P05556	95	p
O75369	95	p
P63000	95	p
P60953	95	p
P27348	95	p
P61981	95	p
Q9NY65	95	#N/A
P35241	95	p
P34931	95	#N/A
Q3ZCM7	95	p
Q13509	95	p
P01023	95	p
P20742	95	#N/A
P06396	95	p
P13639	96	p
P07900	96	p
P04075	96	p
P11021	96	p
P31946	96	p
P15311	96	p
Q00610	96	p
Q9Y490	96	p
P04350	96	p
P21333	96	p
P26038	96	p
P62805	96	p
P07737	96	p
P62937	96	p
P06733	96	p
P35579	96	p
P68366	96	p
P02751	96	p
P04406	96	p
P07437	96	p
P68371	96	#N/A
Q13885	96	p
Q9BVA1	96	#N/A
P0CG39	96	p
P14625	97	p
P07355	97	p
P04264	97	p
P00338	97	p
P62258	97	p
P62834	97	p
Q05639	97	p
Q9BQE3	97	p
P54652	97	p
P23528	97	p
P68104	97	p
P01024	97	p
P0CG38	97	#N/A
P08238	98	p
P14618	98	p
P62979	98	p
P62987	98	#N/A
Q9BYX7	98	#N/A
A5A3E0	98	p
P02042	98	p
P11142	98	p
P68871	98	p
P69905	98	p
P63104	99	p
P68133	99	#N/A
P63267	100	#N/A
Q562R1	100	p
