Sample	cancer_type	type	HLA-A	PDCD6IP	P60033	HSP90AA1	PPIA	PKM	PSMD11	YWHAE	EEF2	HSP90AB1
MS183871QEp_Goncalo_Lyden_60_tumor	lung	not plasma	1631330555	833903148.7	2704172909	3811632885	3540877576	19389058165	502488681.3	2447512821	7215583113	4210230155
MS183871QEp_Goncalo_Lyden_62_tumor	lung	not plasma	1563934121	545039961.9	3027891875	2823383953	3267866685	11645341877	492028733.8	1726339787	2789877503	2823383953
MS184454QEp_Goncalo_Lyden_127_T_b	lung	not plasma	289568875.5	549232952	379792324.5	5152896983	6492699765	10670884662	674275560.2	551726390	4358418313	5153881709
MS184454QEp_Goncalo_Lyden_128_T_b	lung	not plasma	47918188	279966637.8	1203941993	1724640711	3260353565	4791900155	143958705.5	313276266.9	1374051980	1724640711
MS184454QEp_Goncalo_Lyden_130_T_c	lung	not plasma	1381604125	239781139	843830954.8	1421488869	1485325027	1255792153	100200138.9	871451231.8	1356313512	1477666068
MS184454QEp_Goncalo_Lyden_131_T_b	lung	not plasma	283083113.1	277185148.8	442693718.3	6434043851	7326851332	19485888991	503119523.7	723458966.3	4483188203	6408741783
MS184454QEp_Goncalo_Lyden_135_T	lung	not plasma	104102949.8	562141702.3	928066471	2905923228	8780405850	9328337119	379028844.9	391994298	1952477132	2820016507
MS184454QEp_Goncalo_Lyden_137_T	lung	not plasma	42101595.63	348416339.6	69792366	3724359267	8370291885	8147724832	336944590.3	404940490.6	3206758488	3724359267
MS184454QEp_Goncalo_Lyden_141_T	lung	not plasma	190805696.8	358642952.3	2059972703	3113563594	4187323127	5525897812	523300945.8	527188916.1	4217675337	3113563594
MS184454QEp_Goncalo_Lyden_142_T	lung	not plasma	265229413.7	633982162	1677009733	2469975562	5639739671	5005666801	273216396.8	310085222	2509373604	2469975562
MS13546QE_Bruno_Lyden_1118_A	lung	cell culture	620389233.9	272536908.8	77389579.48	738716364.4	593621058.2	2026833957	16833735.91	1097222518	256966089.1	908373413.4
MS13546QE_Bruno_Lyden_H1650_A	lung	cell culture	152108612.8	149731587	459226081.9	713197537.4	384411864.1	278421272.7	NA	741210807.4	100298099	694495835.9
MS13546QE_Bruno_Lyden_H1975_A	lung	cell culture	180986306.4	138967675.3	90880158.4	597931103.9	437273738.4	561369707.2	16807650.17	902023882.5	267587391	552649113.6
MS13546QE_Bruno_Lyden_H292_A	lung	cell culture	78056399.07	677094728.9	34539239.38	786441786.9	362831040.8	720895811.8	18809776.77	960597364.7	279506612.5	836897147.9
