Sample	cancer_type	type	UBAP1	UHRF2	VPS37A	WDR3	YTHDC1	SERPINF2	STAG1	SUPT6H	TP53BP1	TXNDC9
MS13546QE_Bruno_Lyden_H1650_A	lung	cell culture	NA	NA	NA	NA	NA	50096899.61	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H1975_A	lung	cell culture	NA	NA	NA	NA	NA	160426899.7	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H292_A	lung	cell culture	24707089.45	NA	5468828.281	NA	NA	84977345.68	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_A459	lung	cell culture	NA	NA	NA	NA	NA	1069931353	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_ET2B	lung	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_H2228	lung	cell culture	NA	NA	NA	NA	NA	513314078.5	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_H358	lung	cell culture	NA	NA	NA	NA	NA	1122780974	NA	NA	NA	NA
MS173515QEp_Katharine_Lyden_LC_bone_met_17	lung	cell culture	NA	NA	NA	15261277.5	NA	74925322.33	NA	NA	NA	NA
MS151440QE_Bruno_Lyden_CCG9911_Wilms_tumor	kidney	cell culture	NA	NA	NA	NA	NA	1903492375	NA	NA	NA	NA
MS151510QE_Bruno_Lyden_Wilms_tumor_CLS1	kidney	cell culture	NA	NA	NA	NA	NA	3690459478	NA	NA	NA	NA
MS173515QEp_Katharine_Lyden_Renal_bone_met	kidney	cell culture	NA	NA	NA	NA	NA	79008478.5	NA	NA	NA	49861729
MS141070QE_Bruno_Lyden_M2	HN	cell culture	NA	NA	NA	NA	15363278	1453678317	NA	NA	NA	114794600.5
MS141070QE_Bruno_Lyden_M9	HN	cell culture	NA	NA	NA	NA	NA	1956641436	NA	NA	NA	121209799.5
MS173259QEp_Ayuko_Lyden_P01-015-T01	HCC	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	14811260.06
MS173551QEp_Miho_Lyden_P01-020-T01	HCC	not plasma	NA	NA	NA	NA	NA	10996437.75	NA	NA	NA	21962656.31
MS173551QEp_Miho_Lyden_P01-021-T01	HCC	not plasma	NA	NA	NA	NA	NA	9449161	NA	NA	17008064.91	NA
MS184612LUM_haiying_lyden_P01-020-ac2-T01_a	HCC	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184612LUM_haiying_lyden_P01-025-T01_a	HCC	not plasma	NA	NA	NA	10563365.5	NA	NA	NA	NA	NA	NA
MS184612LUM_haiying_lyden_P01-035-T01_a	gastric	not plasma	NA	NA	NA	132921222	NA	NA	NA	212287896.7	225227712.8	216685394.7
MS13451QE_Bruno_Lyden_SNU16gastric_A	gastric	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS13451QE_Bruno_Lyden_SNU1gastric_A	gastric	cell culture	NA	NA	NA	NA	NA	4900664.705	NA	NA	NA	NA
MS14787QE_Hector_Lyden_HGC27	gastric	cell culture	NA	NA	NA	NA	NA	674096263.4	NA	NA	NA	NA
MS173449QEp_Daniela_Lyden_MOCK4_1	gastric	cell culture	NA	NA	NA	NA	NA	939672838	NA	NA	NA	NA
MS162879QEp_Ayuko_Lyden_WE002_tumor	colorectum	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162879QEp_Ayuko_Lyden_WE004_tumor	colorectum	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	12638218.83	49919273
MS162879QEp_Ayuko_Lyden_WE005_tumor	colorectum	not plasma	NA	NA	NA	7039286	NA	NA	28283209	NA	NA	31622550.29
MS14722QE_Bruno_Lyden_HLIEC	colorectum	cell culture	NA	NA	NA	NA	NA	1224595191	NA	NA	NA	NA
MS14722QE_Bruno_Lyden_HT29	colorectum	cell culture	NA	NA	NA	NA	NA	467509675	NA	NA	NA	NA
MS14722QE_Bruno_Lyden_SW620	colorectum	cell culture	NA	NA	NA	NA	NA	326472146	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_HCT116_liver_tropic_1	colorectum	cell culture	NA	NA	NA	NA	NA	690307025.2	NA	NA	NA	NA
