Gene,EntrezID,UNIPROT,3250_overlap,protein_rank_3250,protein_rank_3250_rev,Concentration(ng/L),number of EXPERIMENT,Median
P3H1,64175,Q32P28,P,1,3250,18,25,10515472.75
PLOD2,5352,O00469,P,2,3249,21,18,21942040.66
UXS1,80146,Q8NBZ7,P,5,3246,24,22,103704089.1
PPP1R14B,26472,Q96C90,P,6,3245,190,19,17899270.47
CBFB,865,Q13951,P,13,3238,18,23,30578183.91
CDK1,983,P06493,P,16,3235,51,36,94551394.79
PSME3,10197,P61289,P,17,3234,460,22,40899840.38
PPIC,5480,P45877,P,20,3231,3700,9,44519395.38
CASP3,836,P42574,P,27,3224,94,18,97360923.38
BID,637,P55957,P,31,3220,800,11,16675613.94
RSL1D1,26156,O76021,P,34,3217,18,24,42123300
FEN1,2237,P39748,P,36,3215,160,33,108347152
SMC2,10592,O95347,P,41,3210,26,27,16870800.5
P4HA1,5033,P13674,P,42,3209,60,17,43469045.03
KPNA2,3838,P52292,P,43,3208,160,33,23008166.69
NUP205,23165,Q92621,P,47,3204,24,13,22299564.1
PLOD1,5351,Q02809,P,49,3202,3600,26,33071864.29
MMP14,4323,P50281,P,54,3197,1400,21,38049335.25
HEATR1,55127,Q9H583,P,55,3196,470,12,20147085.25
DCTPP1,79077,Q9H773,P,57,3194,61,14,9913530.688
DDX21,9188,Q9NR30,P,61,3190,40,23,99359979.33
ADAM9,8754,Q13443,P,67,3184,740,24,19089250.99
P4HA2,8974,O15460,P,83,3168,13,14,35418225.13
JPT1,51155,Q9UK76,P,85,3166,40,16,56760749.75
LSM1,27257,O15116,P,102,3149,22,12,19416589
TSR1,55720,Q2NL82,P,103,3148,13,13,20871090.59
ADPGK,83440,Q9BRR6,P,104,3147,66,12,14803165.39
FKBP10,60681,Q96AY3,P,107,3144,110,15,28481957.83
UMPS,7372,P11172,P,111,3140,9.2,29,49284355.35
PRKDC,5591,P78527,P,117,3134,250,38,189877017.2
BZW1,9689,Q7L1Q6,P,121,3130,34,29,97707470.56
GALNT1,2589,Q10472,P,122,3129,2600,11,34528752.08
NCBP1,4686,Q09161,P,124,3127,25,17,73681050.15
SRPRB,58477,Q9Y5M8,P,126,3125,12,18,17928865.75
ADAM17,6868,P78536,P,138,3113,300,21,21872414.56
RASA3,22821,Q14644,P,140,3111,1400,12,27861439.25
MAN1B1,11253,Q9UKM7,P,141,3110,940,11,13383659.06
PTPN12,5782,Q05209,P,153,3098,770,12,23124036.84
TMED9,54732,Q9BVK6,P,170,3081,36,19,64598697.07
DDX18,8886,Q9NVP1,P,172,3079,17,18,36217141.69
NUP155,9631,O75694,P,180,3071,28,11,19503957.5
MEMO1,7795,Q9Y316,NA,181,3070,9.1,NA,60441200.35
FHL2,2274,Q14192,P,184,3067,14,11,58720966.04
PPM1G,5496,O15355,P,191,3060,19,19,65764499.38
SERPINH1,871,P50454,P,192,3059,920,35,92861787.09
PRPF8,10594,Q6P2Q9,P,197,3054,120,32,91038611.92
NSUN2,54888,Q08J23,P,203,3048,110,19,75766201.88
ACBD3,64746,Q9H3P7,P,204,3047,29,21,65075485.67
MCM6,4175,Q14566,P,205,3046,33,20,37890400.67
ALDH18A1,5832,P54886,P,206,3045,48,16,10486786.5
LUC7L2,51631,Q9Y383,P,208,3043,28,25,19344998.31
MINPP1,9562,Q9UNW1,P,211,3040,370000,10,3204161.438
MCM7,4176,P33993,P,218,3033,150,29,44846054.72
UBQLN1,29979,Q9UMX0,P,223,3028,200,15,10394098.88
PPP6R1,22870,Q9UPN7,P,230,3021,19,12,33623780
NOC2L,26155,Q9Y3T9,P,235,3016,310,11,17470079.25
DDX39A,10212,O00148,P,237,3014,200,16,250049225
ITFG1,81533,Q8TB96,P,239,3012,28,8,31971099.75
RANBP2,5903,P49792,P,242,3009,160,16,33646519
MCM2,4171,P49736,P,243,3008,120,21,92176537.49
TNPO1,3842,Q92973,P,245,3006,130,34,78826273.58
MYO1E,4643,Q12965,P,246,3005,13,27,37071259.48
MARCKSL1,65108,P49006,P,250,3001,170,31,57066967.66
CORO7,79585,P57737,P,251,3000,50,14,76517863.25
COLGALT1,79709,Q8NBJ5,P,252,2999,9.7,20,21004517.58
SPARC,6678,P09486,P,255,2996,130000,17,54859804
BCLAF1,9774,Q9NYF8,P,261,2990,21,10,92036345.75
GNL3,26354,Q9BVP2,P,268,2983,13,15,19611156.25
MAN1A2,10905,O60476,P,277,2974,2000,14,8868878
GALNT2,2590,Q10471,P,279,2972,13000,20,37794232.63
HAT1,8520,O14929,P,285,2966,27,20,32489976
TM9SF2,9375,Q99805,P,291,2960,2100,28,54769989.17
HSPH1,10808,Q92598,P,292,2959,1300,36,55862393.81
PLOD3,8985,O60568,P,295,2956,1600,35,17077423.55
LDHA,3939,P00338,P,296,2955,170000,33,364326164.2
NUP133,55746,Q8WUM0,P,297,2954,6.3,15,18105576.52
RECQL,5965,P46063,P,303,2948,25,32,191657004.3
MMP2,4313,P08253,P,307,2944,220000,16,46733487.33
NCSTN,23385,Q92542,P,309,2942,130,24,16418164.5
NUP93,9688,Q8N1F7,P,311,2940,38,20,24796361.56
RANGAP1,5905,P46060,P,323,2928,75,34,52926478.1
CSTF1,1477,Q05048,P,324,2927,210,14,41939014.88
GBA,2629,P04062,P,328,2923,470,16,60202134
SERPINB8,5271,P50452,P,329,2922,920,18,42515882.75
DRG1,4733,Q9Y295,P,331,2920,22,26,20968487.58
MCM5,4174,P33992,P,335,2916,44,19,69788978.96
MSH2,4436,P43246,P,337,2914,28,23,27148469.67
MYBBP1A,10514,Q9BQG0,P,341,2910,47,13,25730906.91
IGF2,3481,P01344,P,345,2906,1200000,12,47402776.5
FNTA,2339,P49354,P,346,2905,170,25,32980326.58
MXRA5,25878,Q9NR99,P,349,2902,2600,13,55820827
RCC1,1104,P18754,P,352,2899,47,17,86593051.08
DSG2,1829,Q14126,P,365,2886,140000,33,37308573.13
LMNB1,4001,P20700,P,366,2885,2100,20,18646112.5
AMDHD2,51005,Q9Y303,P,370,2881,110,8,16861568
RRM1,6240,P23921,P,373,2878,140,26,40364208.27
SNRPC,6631,P09234,P,374,2877,320,19,48431400.5
IRF2BP2,359948,Q7Z5L9,P,375,2876,13,12,13827855.38
ACTL6A,86,O96019,P,377,2874,18,23,202611985.3
FSTL1,11167,Q12841,P,378,2873,34000,10,18856657.25
CDC5L,988,Q99459,P,379,2872,22,14,21839339
EDC4,23644,Q6P2E9,P,382,2869,9.7,10,33716482.7
IPO4,79711,Q8TEX9,P,384,2867,17,26,29788729.84
XPO5,57510,Q9HAV4,P,387,2864,13,26,39864888.9
MSH6,2956,P52701,P,389,2862,15,13,23122296.53
VAMP3,9341,Q15836,P,392,2859,260,25,75260779.84
SF3B2,10992,Q13435,P,395,2856,130,16,26745709.5
ARAP1,116985,Q96P48,P,399,2852,36,15,41793842.98
GART,2618,P22102,P,400,2851,300,31,115120455.2
ZC3HAV1,56829,Q7Z2W4,P,402,2849,24,23,22481008.25
NLN,57486,Q9BYT8,P,403,2848,64,15,40084364
SIL1,64374,Q9H173,P,410,2841,710,13,12731574.22
