EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
5093	PCBP1	Q15365	P	1600	303518893.1
3837	KPNB1	Q14974	P	1600	171255667.5
23184	MESD	Q14696	P	1600	12795581.35
1974	EIF4A2	Q14240	P	1600	524517549.1
6709	SPTAN1	Q13813	P	1600	49717869.81
3609	ILF3	Q12906	P	1600	98644771.92
1806	DPYD	Q12882	P	1600	21381035
6428	SRSF3	P84103	P	1600	190211997.5
4904	YBX1	P67809	P	1600	28942324
2770	GNAI1	P63096	P	1600	464768835
4046	LSP1	P33241	P	1600	18641790.51
10935	PRDX3	P30048	P	1600	39420458
6286	S100P	P25815	P	1600	123108608.4
3683	ITGAL	P20701	P	1600	40279267
1674	DES	P17661	P	1600	174982250.4
353	APRT	P07741	P	1600	392531728.7
8985	PLOD3	O60568	P	1600	17077423.55
11164	NUDT5	Q9UKK9	P	1500	49947139
30846	EHD2	Q9NZN4	P	1500	132410382.1
9050	PSTPIP2	Q9H939	P	1500	10894806.56
66005	CHID1	Q9BWS9	P	1500	23906569.25
64855	NIBAN2	Q96TA1	P	1500	93488174.54
201294	UNC13D	Q70J99	P	1500	41770814
7841	MOGS	Q13724	P	1500	13356958.67
334	APLP2	Q06481	P	1500	38668443.46
2739	GLO1	Q04760	P	1500	85266530.94
6711	SPTBN1	Q01082	P	1500	41639597.99
387	RHOA	P61586	P	1500	546730830.7
408	ARRB1	P49407	P	1500	65483195
8826	IQGAP1	P46940	P	1500	197410456.8
6470	SHMT1	P34896	P	1500	70941101.78
231	AKR1B1	P15121	P	1500	220129954.4
2224	FDPS	P14324	P	1500	75350746.88
7178	TPT1	P13693	P	1500	110307450.4
1727	CYB5R3	P00387	P	1500	108294384.2
23564	DDAH2	O95865	P	1500	81447286.96
4147	MATN2	O00339	P	1500	37057893
29082	CHMP4A	Q9BY43	P	1400	20235285.73
375056	MIA3	Q5JRA6	P	1400	63746186.63
22821	RASA3	Q14644	P	1400	27861439.25
2050	EPHB4	P54760	P	1400	60608271.02
8565	YARS1	P54577	P	1400	78842204.92
4323	MMP14	P50281	P	1400	38049335.25
22948	CCT5	P48643	P	1400	309817608.8
10135	NAMPT	P43490	P	1400	126159958.2
5902	RANBP1	P43487	P	1400	82197485.88
5699	PSMB10	P40306	P	1400	148242644.8
51727	CMPK1	P30085	P	1400	44193978.33
5694	PSMB6	P28072	P	1400	140930907.4
38	ACAT1	P24752	P	1400	32414375.3
4691	NCL	P19338	P	1400	68588009.21
2773	GNAI3	P08754	P	1400	472564938.3
1528	CYB5A	P00167	P	1400	105323903.5
29109	FHOD1	Q9Y613	P	1300	15706645.38
28970	C11orf54	Q9H0W9	P	1300	37861429.03
10808	HSPH1	Q92598	P	1300	55862393.81
6432	SRSF7	Q16629	P	1300	105354393.5
2287	FKBP3	Q00688	P	1300	46183770
1845	DUSP3	P51452	P	1300	37974411
7203	CCT3	P49368	P	1300	365780192.7
1889	ECE1	P42892	P	1300	31955818.38
6124	RPL4	P36578	P	1300	222828557.5
7416	VDAC1	P21796	P	1300	62088694.2
2717	GLA	P06280	P	1300	28772984.83
6185	RPN2	P04844	P	1300	45121239.81
7358	UGDH	O60701	P	1300	211289895.6
10492	SYNCRIP	O60506	P	1300	184792630.8
4065	LY75	O60449	P	1300	31609492.2
6386	SDCBP	O00560	P	1300	254863477.7
7419	VDAC3	Q9Y277	P	1200	47984513.13
29766	TMOD3	Q9NYL9	P	1200	62272146.75
10611	PDLIM5	Q96HC4	P	1200	107029794.5
28960	DCPS	Q96C86	P	1200	51238573
23526	ARHGAP45	Q92619	P	1200	14375253.25
