"UNIPROT"	"Entrez"	"symbol"	"GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1"	"GBM_GTEX.UTHO.0011.R10A.SM.HAKY2"	"GBM_GTEX.R55F.0011.R10A.SM.HAKXY"	"GBM_GTEX.QVJO.0011.R10A.SM.HAKXV"	"GBM_GTEX.P44H.0011.R10A.SM.HAKXX"	"GBM_GTEX.RU72.0011.R10A.SM.HAKXS"	"GBM_GTEX.RN5K.0011.R10A.SM.HAKXU"	"GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ"	"GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT"	"GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW"
"Q9NUJ1"	55347	"ABHD10"	1.09726701517374	1.08450835560024	1.04825865641362	1.16720156515213	1.08203936384489	0.862684992770896	1.21691199911811	1.52024420212955	1.13792164478057	1.07749067611362
"Q9NUJ3"	55346	"TCP11L1"	1.50371979406195	1.21916805812508	1.08145353869318	1.05108150642527	1.32657109438649	1.15673286648648	1.09563571200637	1.59121418615526	1.25163633098933	1.05507168952705
"Q9NUK0"	55796	"MBNL3"	0.12995190079422	-0.0835202052439112	-0.253586914114125	-1.06823163910918	1.08808353261639	1.14715990909899	0.810696036661704	0.247515073908989	NA	NA
"Q9NUL3"	27067	"STAU2"	0.118283580895607	0.0374239589210662	0.0694407795868359	0.187915346028054	0.0609930466081995	0.122671017592031	0.0353992102342293	0.399984335495315	0.250194992844784	0.112579589519413
"Q9NUL5"	55337	"SHFL"	0.108745796117047	0.204760682447944	0.556867047329158	0.40060734615671	0.320179803231401	0.290247448415871	-0.065317913979377	1.09181464810034	0.463290319682814	0.485215249951596
"Q9NUL7"	55794	"DDX28"	0.296121631360977	0.587878835026818	0.402137255049008	0.568296895874899	0.235920208940631	0.181984806192701	-0.0715969735016439	0.931928489700367	-0.315735515299869	0.372563810579343
"Q9NUM4"	54664	"TMEM106B"	0.0517815416909504	0.365297614214657	-0.0972453047908045	0.206706297659724	-0.0572407541268247	-0.116178302680505	-0.199542927379698	-0.148237348269004	0.170655561952616	-0.226451546826802
"Q9NUN5"	55788	"LMBRD1"	0.0101984540567861	0.22693528108811	0.167457308421327	0.16529829521507	-0.0214792992636068	0.343054421176673	-0.0434070842977104	0.561449109704585	0.131300629549215	0.331804693959658
"Q9NUP1"	55330	"BLOC1S4"	-0.592730576609405	-1.29768095531718	-0.156504046148828	-0.520774092482784	-0.424953820458006	-0.457996804274627	-0.140627395553388	-0.778156186375482	-0.792083551179233	-0.607703062340379
"Q9NUP7"	54482	"TRMT13"	-2.17934950242112	-1.18885466710302	-0.736781451713074	-1.54725404112888	-0.499563288052302	0.373739635203268	0.258669940607536	0.100492408866873	-1.65804435453706	-2.06516759692118
"Q9NUP9"	55327	"LIN7C"	0.179209004617184	0.120476538035535	0.0954256916149058	-0.0821404488255701	-0.0690747682439273	-0.0050897855333153	0.168537983782485	-0.349374355250607	0.0262654492019204	0.352304190775037
"Q9NUQ2"	55326	"AGPAT5"	-0.14316009853303	0.0150386621228325	-0.0116547293762228	-0.0213553069014861	0.0566076399384173	0.14621613377849	-0.113549505695023	0.102649417579672	0.28295744330295	0.165384925168319
"Q9NUQ3"	55787	"TXLNG"	-0.68729078156455	0.0857627974703891	-0.532859607359783	-0.551667044603214	-0.573340835889196	-0.288855927991199	-0.266280656657895	-0.843443070437666	-0.456072205468857	-0.438171537828879
"Q9NUQ6"	26010	"SPATS2L"	-1.03360129729887	-1.15854658051413	-0.651004566522271	-0.632536574335978	-0.679124872031764	-0.290544732277995	-0.957756558475467	-1.01555487797051	-0.54844166610356	-0.877967187377081
"Q9NUQ7"	55325	"UFSP2"	-0.728999578304779	-0.578466897832408	-0.481776448488641	-0.133354211332732	-0.503908535237993	-0.229924583886943	-0.179277781948459	-1.20218557002282	-0.491489668174044	-0.703164062647385
"Q9NUQ8"	55324	"ABCF3"	-0.598029132184418	-0.591581292209399	-0.334910124960734	-0.507044238674628	-0.220793430719799	-0.419955127453223	-0.63656957610439	-0.495147767024924	-0.390259065452208	-0.650289016084142
